id,author_id,created_at,retweet_count,like_count,location,author_follower_count,text,topic,sentiment
1460397055537414149,30631045,Mon Nov 15 23:59:25 +0000 2021,0,0,"Edmonton, Alberta",386,@WestJet do I need a negative Covid test to fly into Mexico? I am leaving to Cancun Saturday with you.,T,neutral
1460396710467813378,2789883437,Mon Nov 15 23:58:03 +0000 2021,2,8,"Fort McMurray, Alberta",56,@GarethCambridge @MichealLehane Wearing a mask for Covid is like using a chain link fence to stop mosquitoes.,A,negative
1460395818398142464,272002337,Mon Nov 15 23:54:30 +0000 2021,0,0,Edmonton,9441,Here's the link to get your #QRCode through @AHS_media As of today it becomes the only form of vaccine proof accepted in #Alberta. -Shirley McQueen,V,neutral
1460395230792851457,1426605757160517642,Mon Nov 15 23:52:10 +0000 2021,1,7,Calgary,966,Amazing news from Calgary’s Northeast communities! Thank you to @YYCNewcomers and @RefugeeHealth for all your important work. It's inspiring to see what is possible when we remove barriers and increase accessibility.,A,positive
1460395148769042432,1063654709423001600,Mon Nov 15 23:51:50 +0000 2021,0,0,Calgary Alberta,41,@NorthPhoenix3 @CMOH_Alberta You know that covid has cost trillions to governments.  You think they are getting kickbacks for ?  Billions ?   That’s how much they are making off the vaccines.,P,neutral
1460394961510154241,2192897330,Mon Nov 15 23:51:06 +0000 2021,0,0,Stettler,376,"Alberta identifies 1,068 new COVID-19 cases over weekend",C,neutral
1460394401717370883,63217258,Mon Nov 15 23:48:52 +0000 2021,0,3,"Calgary, Ab., Canada",6198,"I WANT TO KNOW...If a precedent is being set where docs are losing their licenses &amp; others face unannounced inspections for misinformation (like denying #COVIDisAirborne) will we see a time, when the axe will fall on ID/PH officials &amp; Gov't talking heads?",A,neutral
1460394274604785666,2897551665,Mon Nov 15 23:48:22 +0000 2021,5,5,"Calgary, AB",1006,Quietly released today. Speaks to the destruction of @CalgaryPolice and absolute lack of leadership. #Calgary is in shambles. Violent crime out of control. No cops and many leaving. Blaming COVID amongst other things. Our organization is in crisis. #yyccc,P,negative
1460393918411902976,2898732470,Mon Nov 15 23:46:57 +0000 2021,0,2,"Calgary, Alberta",415,"@KatieM12121 My government has already brought in restrictions for unvaxxed Sept 2021. You need a QR code as a proof of vaccination to access gyms, bars/clubs/restaurants, theatres, museums, sports etc even public buildings.  I am fully committed to not “giving in”.",V,negative
1460393593680449541,966402865169285120,Mon Nov 15 23:45:40 +0000 2021,3,8,"Calgary, Alberta",638,"Great opportunity to manage an excellent team of researchers, trainees &amp; staff. Help us generate and implement the most impactful science so that we are better prepared to prevent and manage future public health emergencies like the COVID-19 pandemic. Reach out for more info.",U,neutral
1460393566430285826,263975185,Mon Nov 15 23:45:33 +0000 2021,0,0,"Saskatoon, SK",455,@JVR926 Yep - virtually every person I know including all my family. No side effects and none that I know have caught Covid after vaccination.,V,positive
1460392947761889281,250310081,Mon Nov 15 23:43:06 +0000 2021,0,0,Calgary,21,@lovelylucybelle @Cyberace1985 @realCruzThomas @patriottakes I trust the science that goes into vaccine development more than I trust the populist luddite campaigns - whether well-funded or grassroots - that seek to undermine public faith in health science through sowing misinformation and encouraging doubt and distrust.   In a pandemic.,V,positive
1460392521142620161,796457850629279744,Mon Nov 15 23:41:24 +0000 2021,0,0,"Saskatoon, Saskatchewan",2221,@LeaderMcConnell Get real Mitch if Trump and you would have dealt with COVID properly  some of this would have happened then. Time to retire.,P,neutral
1460392464007659528,1236477440,Mon Nov 15 23:41:10 +0000 2021,0,1,"Edmonton, Alberta",200,"Minority groups, including Indigenous people, are less likely to choose to be vaccinated. Vaccine passports disproportionately affect minority groups and exclude them from public spaces. #ableg #cdnpoli",V,negative
1460392351600312320,415170246,Mon Nov 15 23:40:44 +0000 2021,9,50,"Edmonton, Alberta",5153,"Our government needs to mandate indoor air quality standards, and provide financial supports for implementing them, now that the airborne nature of covid has finally been acknowledged. They cannot offload the decisions, logistics, and costs onto businesses.  #COVIDisAirborne",S,positive
1460392174151880704,1026882835,Mon Nov 15 23:40:01 +0000 2021,0,1,"Calgary, Alberta",116,@Humanlty1o1 Well I was one of the 98% and i did survive covid.,A,neutral
1460392089116631045,1444074786049699844,Mon Nov 15 23:39:41 +0000 2021,0,1,Communist Canada,89,@NotaliaMateo For Pfizer at least or so I’m told Cheers,A,neutral
1460391951052779524,18999809,Mon Nov 15 23:39:08 +0000 2021,5,9,"Calgary, Alberta",199572,"Alberta reports 1,068 new cases of COVID-19 over 3 days, 17 more deaths",C,neutral
1460391760337715212,1446683853251223552,Mon Nov 15 23:38:23 +0000 2021,0,1,"Edmonton, Alberta",23,@JamesJJRyan @GasPriceWizard All O&amp; G companies getting the message keep it in the ground. Now see the consequences.  Fossil fuel investments are treated like dark web guns and drugs pariahs.  Well supply now getting squeezed as demand returns to pre covid. Not to worry Saudis and Russia will help🤣🤣🤣.NOT!,U,neutral
1460391757103845376,1178707401307934720,Mon Nov 15 23:38:22 +0000 2021,0,1,Calgary AB,24,@loublanco1976 @traintwt @IGN Considering Marvel hasn't recast the character since Iron Man 2 I doubt they're going to recast her here. There are ten other Marvel projects coming out this one can be delayed a few months longer for America to get covid under control like the rest of us have,T,neutral
1460391696722587653,369686542,Mon Nov 15 23:38:07 +0000 2021,0,1,Regina,93,I just signed on with the @albertandp to call for a public inquiry into Kenney’s COVID-19 response. Will you join me? #ableg #abpoli,U,neutral
1460391627390922754,293762731,Mon Nov 15 23:37:51 +0000 2021,0,0,"Lethbridge, AB",18385,Alberta announces 17 more COVID-19 deaths but number of patients in hospital with the disease drops  #coronavirus,C,neutral
