id	author_id	created_at	retweet_count	like_count	location	author_follower_count	text
1461121813157613569	752964770328829952	Wed Nov 17 23:59:21 +0000 2021	5	16	Edmonton, Alberta	57	So I've been tracking the Vaccine outcomes data from Alberta since Sept 8th.  As of Nov 16th, 51.67% of deaths have been people who received atleast 1 dose and diagnosed &gt;14 days post vaccination. 48.33% unvaccinated.
1461120569156374529	2366080716	Wed Nov 17 23:54:24 +0000 2021	0	0	Edmonton Alberta Canada	2291	Ottawa nixing molecular COVID test requirement for Canadians taking short trips abroad: sources | CBC News 
1461120564865683458	14857998	Wed Nov 17 23:54:23 +0000 2021	0	0	Calgary, Alberta	992	‘Low probability’ of COVID virus spreading among deer: Alberta Environment &amp; Parks 
1461120450096885760	2366080716	Wed Nov 17 23:53:56 +0000 2021	0	0	Edmonton Alberta Canada	2291	Alberta reports 412 new cases of COVID-19, 3 new deaths | CBC News 
1461120383877140480	3061939789	Wed Nov 17 23:53:40 +0000 2021	0	0	Calgary, Alberta	37	The Sens have a 100% vaccination rate, and 40% of the team has tested positive for COVID-19 - Editors' Picks 
1461120180130508803	90949148	Wed Nov 17 23:52:51 +0000 2021	0	1	Edmonton, Alberta	8134	"@duncankinney ""the province reported 18 more deaths for a total of 1,046 deaths""  "
1461119865511550980	1243576142449213447	Wed Nov 17 23:51:36 +0000 2021	0	0	Calgary, Alberta	439	Alberta reports over 400 COVID-19 cases and 3 additional   
1461119860721602561	262780603	Wed Nov 17 23:51:35 +0000 2021	0	0	Red Deer, Alberta	9409	Province extending COVID supports in homeless &amp; women’s shelters  
1461119396412153865	802274425781399552	Wed Nov 17 23:49:45 +0000 2021	0	22	Sundre Alberta	490	@jkenney @AdrianaLaGrange Absolutely ridiculous statement - no one including school boards is - or ever has- suggested that vaccines for children will be mandatory quite in-sighting division-where there is none- your misleading and inaccurate information has got us to where we are in Regards to the COVID.
1461118892030398466	969664911046426624	Wed Nov 17 23:47:44 +0000 2021	27	144	Calgary, Alberta	17476	Former View Co-Host Cut Off When She Stated Basic Facts Regarding Covid Bio-Weapon  via @BitChute The View is clearly A DARK CULT AGENDA MACHINE...
1461117945459924995	1038282397111013376	Wed Nov 17 23:43:59 +0000 2021	0	13	Saskatchewan, Canada	5806	@barleyhops6 @sandilou2u @sharalynnm I'm aware of what I'm comparing.  I had covid. I don't want the shot. My doctor, based on his knowledge of my medical history, is OK with that.  So no, this is not about misinfo or side effects, but actual recalls &amp; safety.  You make your own risk analysis - we make ours.✌
